                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    124,                 1.2135,                0.54968,                 0.9335,                0.97844,                0.97828,                0.97914,                0.51675,                 1.7929,                0.60738,                 1.1041,             0.00032995,             0.00032995,             0.00032995
                    125,                 1.1992,                 0.5483,                0.93174,                0.98931,                0.99289,                  0.995,                0.53195,                 1.7473,                0.58534,                  1.088,             0.00032583,             0.00032583,             0.00032583
                    126,                 1.2071,                0.54169,                0.93666,                0.98429,                0.99219,                0.98989,                0.50425,                 1.8223,                0.60886,                  1.111,              0.0003217,              0.0003217,              0.0003217
                    127,                 1.1824,                0.54121,                0.93321,                0.99158,                      1,                  0.995,                0.53482,                  1.758,                0.58818,                 1.0937,             0.00031758,             0.00031758,             0.00031758
                    128,                 1.2077,                0.54726,                0.92726,                0.99462,                      1,                  0.995,                0.52973,                 1.7752,                0.60441,                 1.0947,             0.00031346,             0.00031346,             0.00031346
                    129,                 1.1854,                0.54725,                0.92955,                0.98657,                0.99219,                0.98735,                0.53618,                 1.7617,                0.59271,                  1.096,             0.00030933,             0.00030933,             0.00030933
                    130,                  1.164,                0.52706,                0.92707,                0.98633,                0.99219,                0.99417,                0.54752,                 1.7386,                0.58444,                 1.0902,             0.00030521,             0.00030521,             0.00030521
                    131,                 1.1492,                0.51952,                0.90958,                0.99419,                0.99276,                  0.995,                0.54061,                 1.7718,                 0.6023,                 1.1019,             0.00030109,             0.00030109,             0.00030109
                    132,                 1.1704,                0.53165,                0.92218,                0.98247,                0.98369,                0.98912,                0.53839,                  1.771,                0.59896,                 1.0963,             0.00029696,             0.00029696,             0.00029696
                    133,                 1.1491,                0.52782,                0.91806,                 0.9863,                0.98438,                0.98803,                0.53872,                 1.7577,                0.58453,                 1.0985,             0.00029284,             0.00029284,             0.00029284
